"Year","Region","fungicide_kg","fungicide_area"
1990,"Scotland","675685","1630493"
2024,"South East","259141","1720853"
2022,"South East","305988","1915989"
2020,"South East","350861","1633289"
2018,"South East","471515","1928883"
2016,"South East","420722","1871185"
2014,"South East","424162","1947137"
2012,"South East","378078","1786407"
2010,"South East","368085","1782368"
2008,"South East","416377","1973434"
2006,"South East","309491","1589415"
2004,"South East","349523","1900449"
2002,"South East","213467","1655108"
2000,"South East","234461","1754403"
1998,"South East","338160","1790580"
1996,"South East","383540","1649513"
1994,"South East","378412","1425788"
1992,"South East","415334","1517478"
1990,"South East","442524","1640184"
2024,"South West","241132","1361067"
2022,"South West","264907","1437891"
2020,"South West","282773","1258817"
2018,"South West","349664","1470690"
2016,"South West","377562","1620677"
2014,"South West","325276","1498119"
2012,"South West","285276","1405831"
2010,"South West","281402","1399005"
2008,"South West","358622","1773601"
2006,"South West","260783","1185693"
2004,"South West","258453","1372122"
2002,"South West","169014","1380400"
2000,"South West","189327","1262369"
1998,"South West","273332","1452218"
1996,"South West","307004","1307898"
1994,"South West","240771","1014694"
1992,"South West","330222","1155299"
1990,"South West","368903","1344713"
2024,"Wales","27178","161504"
2022,"Wales","37684","235602"
2020,"Wales","26493","111867"
2018,"Wales","45900","202416"
2016,"Wales","30387","127175"
2014,"Wales","26322","138008"
2012,"Wales","32488","146669"
2010,"Wales","41942","209893"
2008,"Wales","36906","134284"
2006,"Wales","19281","99690"
2004,"Wales","27079","124869"
2002,"Wales","25758","142508"
2000,"Wales","15558","109683"
1998,"Wales","27260","105657"
1996,"Wales","38644","147948"
1994,"Wales","37734","96989"
1992,"Wales","21274","90857"
1990,"Wales","23258","81261"
2024,"East","869949","5718591"
2022,"East","944388","5844693"
2020,"East","969016","4599074"
2018,"East","1392451","5643542"
2016,"East","1488346","6130377"
2014,"East","1463007","6331759"
2012,"East","1266570","6140490"
2010,"East","1167937","5778253"
2008,"East","1295253","6347937"
2006,"East","977331","4920248"
2004,"East","1187315","6220941"
2002,"East","632300","5188912"
2000,"East","711273","5367741"
1998,"East","955872","5655686"
1996,"East","1237525","5379966"
1994,"East","1164644","4529171"
1992,"East","1440112","5098858"
1990,"East","1681060","4500371"
