Year,Region,L1_Zymoseptoria_tritici_Disease_Severity,L1_Yellow_rust_Disease_Severity,L1_Zymoseptoria_tritici_Crop_Incidence,L1_Yellow_rust_Crop_Incidence,L2_Zymoseptoria_tritici_Disease_Severity,L2_Yellow_rust_Disease_Severity,L2_Zymoseptoria_tritici_Crop_Incidence,L2_Yellow_rust_Crop_Incidence
1987,East Midlands,0.426,0,56.757,1.351,2.988,0,85.135,1.351
1987,North East,0.049,0,44.444,0,0.501,0,100,0
1987,North West,4.895,0,100,0,15.605,0,75,0
1987,South East,0.443,0,67.857,0,3.325,0,87.5,0
1987,South West,3.395,0,63.636,0,7.331,0,75.758,0
1987,Wales,2.007,0,70.833,0,6.689,0,87.5,0
1987,West Midlands,2.026,0.001,65.385,3.846,6.236,0,100,0
1987,Yorkshire and The Humber,0.975,0,48.649,0,4.359,0,75.676,0
1988,East,0.431,0.401,63.636,19.091,2.02,0.289,84.545,14.545
1988,East Midlands,0.342,0.135,45.455,18.182,1.935,0.119,87.879,18.182
1988,North East,0.148,1.308,20,30,1.168,0.596,50,10
1988,North West,0,0,0,0,0.15,0,75,0
1988,South East,0.542,0.015,60.938,4.688,2.876,0.006,85.938,6.25
1988,South West,0.964,0.002,64.103,2.564,3.946,0,89.744,0
1988,Wales,0.719,0,51.724,0,3.73,0,79.31,0
1988,West Midlands,0.248,0.007,55.172,6.897,2.338,0.007,93.103,6.897
1988,Yorkshire and The Humber,0.172,0.545,44.898,26.531,0.651,0.423,71.429,10.204
1989,East,0.066,0.758,11.65,35.922,0.291,1.323,33.981,35.922
1989,East Midlands,0.016,0.555,11.538,21.154,0.265,0.584,38.462,30.769
1989,North East,0.14,0.05,12.5,37.5,0.715,0,50,0
1989,North West,0.109,3.303,28.571,57.143,0.44,3.274,28.571,42.857
1989,South East,0.127,0.599,19.697,25.758,0.529,0.769,51.515,28.788
1989,South West,0.193,0.195,37.5,22.5,3.153,0.19,65,22.5
1989,Wales,0.308,0.173,29.63,22.222,0.804,0.151,59.259,18.519
1989,West Midlands,0.02,0.529,12.5,18.75,0.246,0.502,50,21.875
1989,Yorkshire and The Humber,0.004,0.347,8.108,27.027,0.117,0.4,35.135,27.027
1990,East,0.067,0.365,20.536,16.071,0.201,0.349,31.25,18.75
1990,East Midlands,0.156,0.314,36.111,20.833,0.353,0.223,41.667,18.056
1990,North East,0.113,0.137,25,8.333,0.263,0.163,33.333,16.667
1990,North West,0.06,0.133,33.333,16.667,0.06,0.107,50,33.333
1990,South East,0.253,0.254,49.231,10.769,0.887,0.113,70.769,12.308
1990,South West,0.644,0.427,48.485,3.03,1.973,0.301,60.606,12.121
1990,Wales,0.065,0.364,24.138,13.793,0.179,0.636,48.276,17.241
1990,West Midlands,0.154,0.039,40,8.571,0.587,0.08,65.714,14.286
1990,Yorkshire and The Humber,0.184,0.159,26.829,14.634,0.567,0.228,26.829,12.195
1991,East,0.894,0.003,59.794,2.062,2.965,0.003,81.443,1.031
1991,East Midlands,0.917,0.033,40.426,4.255,2.496,0.024,68.085,3.191
1991,North East,0.271,0.006,46.154,7.692,1.717,0,69.231,0
1991,North West,3.257,0,71.429,0,11.183,0,57.143,0
1991,South East,3.98,0,74.138,0,8.386,0,86.207,0
1991,South West,1.523,0.006,63.043,4.348,4.763,0.057,86.957,2.174
1991,Wales,2.181,0.003,70.37,3.704,7.169,0.024,74.074,3.704
1991,West Midlands,1.332,0,67.568,0,4.906,0,81.081,0
1991,Yorkshire and The Humber,1.009,0.006,28.261,4.348,3.247,0.024,63.043,6.522
1992,East,0.221,0.002,42.149,0.826,1.205,0.002,68.595,1.653
1992,East Midlands,0.115,0,33.721,0,0.942,0.004,59.302,4.651
1992,North East,0.01,0,12.5,0,0.178,0,50,0
1992,North West,0.137,0.074,71.429,14.286,1.857,0.011,85.714,14.286
1992,South East,0.099,0,32.692,0,1.692,0.001,69.231,1.923
1992,South West,0.387,0,40,0,1.745,0.002,75.556,2.222
1992,Wales,0.443,0,40.741,0,2.354,0.006,62.963,3.704
1992,West Midlands,0.334,0,50,0,2.006,0,77.778,0
1992,Yorkshire and The Humber,0.117,0.033,29.688,1.563,0.694,0.016,62.5,1.563
1993,East,0.301,0.005,51.351,2.703,1.899,0.022,80.18,2.703
1993,East Midlands,0.588,0.012,63.514,2.703,3.385,0.003,93.243,2.703
1993,North East,0.499,0,46.667,0,4.008,0,93.333,0
1993,North West,1,0,85.714,0,9.737,0,100,0
1993,South East,1.482,0.023,66.667,3.509,4.672,0.005,94.737,3.509
1993,South West,2.998,0,90.476,0,12.71,0,100,0
1993,Wales,4.468,0,83.333,0,15.501,0,96.667,0
1993,West Midlands,0.356,0,61.765,0,4.013,0.002,85.294,2.941
1993,Yorkshire and The Humber,0.278,0,50,0,2.325,0,81.034,0
1994,East,0.07,0.025,13.043,0.87,0.696,0.017,56.522,4.348
1994,East Midlands,0.022,0.037,10.112,3.371,0.244,0.005,44.944,3.371
1994,North East,0.007,0,5.882,0,0.125,0.005,23.529,11.765
1994,North West,0.029,0,14.286,0,0.074,0,28.571,0
1994,South East,0.233,0,28.814,0,2.508,0.001,69.492,1.695
1994,South West,0.745,0,55,0,4.786,0.005,87.5,2.5
1994,Wales,1.081,0,43.333,0,4.525,0,73.333,0
1994,West Midlands,0.163,0,27.027,0,1.332,0.002,62.162,2.703
1994,Yorkshire and The Humber,0.033,0,6.897,0,0.317,0.001,31.034,1.724
1995,East,0.026,0,13.913,0,0.12,0,26.087,0
1995,East Midlands,0.043,0.005,17.442,2.326,0.351,0,48.837,1.163
1995,North East,0.26,0.011,55.556,5.556,1.938,0,94.444,0
1995,North West,0.086,0,42.857,0,1.131,0,85.714,0
1995,South East,0.446,0,33.929,0,1.154,0,66.071,0
1995,South West,0.169,0,42.5,0,1.604,0.001,77.5,2.5
1995,Wales,2.506,0.026,71.875,3.125,5.813,0.001,75,3.125
1995,West Midlands,0.232,0,44.118,0,1.876,0,70.588,0
1995,Yorkshire and The Humber,0.086,0,29.032,0,0.459,0,41.935,0
1996,East,0.026,0,11.765,0,0.351,0,42.157,0
1996,East Midlands,0.021,0,11.111,0,0.64,0,58.025,0
1996,North East,0.007,0,11.111,0,0.06,0,33.333,0
1996,North West,0.24,0,42.857,0,7.543,0,100,0
1996,South East,0.23,0,41.27,0,2.526,0,87.302,0
1996,South West,0.332,0,53.659,0,7.984,0,97.561,0
1996,Wales,1.194,0,54.839,0,8.631,0,90.323,0
1996,West Midlands,0.126,0,39.474,0,4.008,0,81.579,0
1996,Yorkshire and The Humber,0.005,0,5,0,0.229,0,53.333,0
1997,East,0.666,0.109,60.36,2.703,3.427,0.032,88.288,3.604
1997,East Midlands,0.39,0.089,50,3.488,1.766,0.02,88.372,3.488
1997,North East,0.167,0.045,41.176,5.882,1.169,0.024,82.353,5.882
1997,North West,1.474,0,71.429,0,4.097,0,100,0
1997,South East,0.684,0.017,71.667,3.333,3.407,0.018,91.667,1.667
1997,South West,1.984,0.003,75.61,2.439,5.391,0,97.561,0
1997,Wales,2.906,0.255,78.125,6.25,6.74,0.061,84.375,3.125
1997,West Midlands,0.957,0,48.649,0,3.783,0.009,94.595,2.703
1997,Yorkshire and The Humber,0.562,0.089,53.333,5,1.938,0.02,83.333,3.333
1998,East,1.382,0.013,65.094,4.717,4.798,0.022,84.906,7.547
1998,East Midlands,3.078,0.408,73.684,17.105,6.804,0.307,85.526,17.105
1998,North East,5.273,0.099,82.353,5.882,14.158,0.012,100,11.765
1998,North West,7.32,0,100,0,28.4,0,100,0
1998,South East,0.848,0.014,57.143,8.929,3.614,0.007,87.5,5.357
1998,South West,8.035,0,86.667,0,17.242,0.002,97.778,2.222
1998,Wales,4.04,0.577,83.333,13.333,13.723,0.387,100,13.333
1998,West Midlands,3.126,0.021,67.5,7.5,8.97,0.007,92.5,2.5
1998,Yorkshire and The Humber,2.569,0.09,62.712,5.085,8.884,0.028,88.136,10.169
1999,East,0.943,0.031,55.208,3.125,3.486,0.065,83.333,6.25
1999,East Midlands,1.574,0.016,59.74,9.091,5.632,0.023,90.909,7.792
1999,North East,1.358,0,27.778,0,3.969,0,77.778,0
1999,North West,6.63,0,87.5,0,18.345,0,100,0
1999,South East,0.751,0.046,50.82,8.197,4.532,0.085,86.885,9.836
1999,South West,3.272,0.043,84.783,10.87,11.149,0.05,97.826,8.696
1999,Wales,7.085,0.057,86.667,6.667,17.236,0.025,100,6.667
1999,West Midlands,2.222,0.009,78.947,7.895,13.335,0.023,97.368,5.263
1999,Yorkshire and The Humber,1.532,0.005,55.172,3.448,4.686,0.009,89.655,5.172
2000,East,2.801,0,83.333,0,8.215,0,97.059,0
2000,East Midlands,1.336,0.002,75.309,1.235,4.157,0.001,96.296,1.235
2000,North East,0.978,0.004,72.222,5.556,1.953,0,83.333,0
2000,North West,3.916,0,88.889,0,10.929,0,100,0
2000,South East,2.932,0,91.667,0,9.658,0,100,0
2000,South West,2.696,0,93.478,0,11.21,0,100,0
2000,Wales,5.296,0.001,93.75,3.125,12.761,0,100,0
2000,West Midlands,1.626,0.021,86.486,2.703,5.947,0.072,100,2.703
2000,Yorkshire and The Humber,2.299,0,75.862,0,6.395,0,91.379,0
2001,East,0.242,0,19.643,0,1.163,0,71.429,0
2001,East Midlands,0.03,0.069,21.429,2.857,0.622,0.066,61.429,2.857
2001,North East,0.1,0,42.857,0,0.851,0,64.286,0
2001,North West,0.005,0,12.5,0,0.965,0,50,0
2001,South East,0.009,0,10.345,0,0.244,0,48.276,0
2001,South West,0.049,0,17.021,0,1.19,0,53.191,0
2001,Wales,0.191,0,26.923,0,0.848,0,69.231,0
2001,West Midlands,0.441,0,34.483,0,1.994,0,62.069,0
2001,Yorkshire and The Humber,0.279,0,35.593,0,1.945,0,74.576,0
2002,East,0.67,0.006,62.037,0.926,4.13,0,92.593,0
2002,East Midlands,0.664,0,64.789,0,4.152,0.001,94.366,1.408
2002,North East,0.44,0.003,68.75,6.25,1.407,0.007,87.5,6.25
2002,North West,0.615,0,37.5,0,6.85,0,87.5,0
2002,South East,9.743,0,93.023,0,23.08,0,100,0
2002,South West,7.913,0,90.476,0,20.031,0,97.619,0
2002,Wales,6.593,0,85.185,0,17.381,0,92.593,0
2002,West Midlands,3.259,0,78.378,0,15.918,0,97.297,0
2002,Yorkshire and The Humber,0.571,0,62.963,0,4.502,0,87.037,0
2003,East,0.274,0,56.79,0,1.488,0,80.247,0
2003,East Midlands,0.994,0,77.966,0,4.101,0,91.525,0
2003,North East,0.113,0,45.455,0,0.851,0,72.727,0
2003,North West,4.573,0,100,0,17.633,0,100,0
2003,South East,1.13,0,66.667,0,4.068,0,94.444,0
2003,South West,0.743,0,72.727,0,4.713,0,87.879,0
2003,West Midlands,0.909,0,51.724,0,5.454,0,100,0
2003,Yorkshire and The Humber,0.599,0,58.537,0,4.403,0,90.244,0
2004,East,0.694,0,50.602,0,1.876,0,84.337,1.205
2004,East Midlands,0.584,0,55.932,0,2.032,0,88.136,0
2004,North East,1.28,0,50,0,9.896,0,80,0
2004,North West,8.393,0,83.333,0,15.607,0,100,0
2004,South East,1.479,0,55,0,4.538,0,90,0
2004,South West,0.968,0,45.455,0,4.234,0,81.818,0
2004,West Midlands,1.743,0,96.429,0,6.647,0,100,0
2004,Yorkshire and The Humber,4.101,0,80,0,9.959,0,97.5,0
2005,East,0.426,0,68.75,0,1.994,0,85,0
2005,East Midlands,2.359,0,84.314,0,3.555,0,98.039,0
2005,North East,0.025,0,18.182,0,0.295,0,63.636,0
2005,North West,0.64,0,66.667,0,0.693,0,83.333,0
2005,South East,1.461,0,70,0,4.8,0,90,0
2005,South West,2.712,0,81.25,0,7.123,0,87.5,0
2005,West Midlands,1.854,0,64.286,0,3.886,0,82.143,0
2005,Yorkshire and The Humber,2.284,0.02,87.805,4.878,4.623,0,92.683,0
2006,East,0.536,0,63.014,0,2.678,0.001,90.411,1.37
2006,East Midlands,0.961,0.021,66.667,3.509,4.871,0.027,96.491,1.754
2006,North East,0.007,0.004,9.091,9.091,0.062,0.004,54.545,9.091
2006,North West,0.504,0,100,0,4.848,0,100,0
2006,South East,1.792,0.002,82.051,2.564,7.166,0.002,100,2.564
2006,South West,2.754,0,84.848,0,10.228,0,100,0
2006,West Midlands,0.693,0.29,77.778,3.704,6.025,0.136,96.296,3.704
2006,Yorkshire and The Humber,0.966,0.004,58.974,5.128,4.476,0,92.308,0
2007,East,0.508,0.005,64.474,1.316,2.054,0.006,86.842,3.947
2007,East Midlands,1.284,0,65.517,0,3.041,0,91.379,0
2007,North East,0.943,0,66.667,0,2.683,0,100,0
2007,North West,0.26,0,66.667,0,0.267,0,83.333,0
2007,South East,1.587,0,97.297,0,4.898,0,97.297,0
2007,South West,0.948,0,67.647,0,5.179,0,88.235,0
2007,Wales,0.16,0,100,0,1.92,0,100,0
2007,West Midlands,1.64,0.002,65.385,3.846,3.882,0.015,96.154,3.846
2007,Yorkshire and The Humber,0.741,0.031,64.286,4.762,1.79,0.046,80.952,2.381
2008,East,1.16,0.003,62.963,1.235,2.972,0.001,71.605,1.235
2008,East Midlands,0.655,0,66.667,0,2.192,0,80.702,0
2008,North East,0.087,0,41.667,0,0.133,0,75,0
2008,North West,0.303,0,57.143,0,1.68,0,57.143,0
2008,South East,2.394,0,79.412,0,4.831,0,88.235,0
2008,South West,1.357,0,82.857,0,4.475,0,94.286,0
2008,West Midlands,2.387,0,85.185,0,4.375,0,96.296,0
2008,Yorkshire and The Humber,0.151,0,50,0,0.517,0,70.455,0
2009,East,0.068,0,22.222,0,0.214,0,60.494,1.235
2009,East Midlands,0.079,0,31.579,0,0.921,0,73.684,0
2009,North East,0.01,0,16.667,0,0.183,0,58.333,0
2009,North West,0.166,0,71.429,0,1.086,0,85.714,0
2009,South East,0.247,0,44.737,0,2.3,0,76.316,0
2009,South West,1.219,0.013,42.424,6.061,4.303,0.01,69.697,6.061
2009,West Midlands,0.044,0,25.926,0,1.201,0,66.667,0
2009,Yorkshire and The Humber,0.147,0.001,44.186,2.326,2.643,0.001,90.698,2.326
2010,East,0.022,0,8.537,0,0.226,0.015,34.146,6.098
2010,East Midlands,0.082,0.001,19.298,1.754,0.396,0,45.614,0
2010,North East,0.025,0,30.769,0,0.246,0,61.538,0
2010,North West,0.509,0,42.857,0,1.029,0,85.714,0
2010,South East,0.08,0.003,22.857,2.857,0.957,0.001,57.143,2.857
2010,South West,0.234,0,25,0,0.697,0,59.375,0
2010,Wales,0,0,0,0,0.4,0,100,0
2010,West Midlands,0.271,0.006,38.462,7.692,1.217,0.003,53.846,3.846
2010,Yorkshire and The Humber,0.023,0,26.829,0,0.274,0,58.537,0
2011,East,0.166,0.003,19.753,3.704,0.206,0.005,32.099,6.173
2011,East Midlands,0.026,0.014,20.339,5.085,0.079,0.001,30.508,1.695
2011,North East,0.077,0,25,0,0.19,0,66.667,0
2011,North West,0.387,0.02,66.667,16.667,3.633,0.007,100,16.667
2011,South East,0.591,0,51.282,0,1.596,0,71.795,0
2011,South West,0.488,0.021,58.824,2.941,2.396,0.007,85.294,5.882
2011,West Midlands,0.17,0.009,32.143,7.143,0.411,0.001,64.286,3.571
2011,Yorkshire and The Humber,0.784,0,62.5,0,2.472,0,72.5,0
2012,East,6.427,0.012,92.105,2.632,12.419,0.031,98.684,2.632
2012,East Midlands,5.426,0.004,95,3.333,9.873,0,96.667,0
2012,North East,0.807,0,91.667,0,4.223,0,100,0
2012,North West,11.909,0,100,0,14.303,0,100,0
2012,South East,4.643,0.068,72.5,5,9.25,0.049,95,5
2012,South West,1.462,0.027,67.742,6.452,8.621,0.003,83.871,3.226
2012,Wales,0.04,0,100,0,20.4,0,100,0
2012,West Midlands,1.111,0,88.889,0,4.81,0,96.296,0
2012,Yorkshire and The Humber,7.398,0.003,88.095,4.762,8.703,0.001,97.619,2.381
2013,East,0.017,0,21.25,0,0.147,0,43.75,0
2013,East Midlands,0.124,0,31.579,0,0.592,0,52.632,0
2013,North East,0.102,0,63.636,0,0.425,0,63.636,0
2013,North West,0.154,0,42.857,0,1.549,0,42.857,0
2013,South East,0.406,0.001,51.22,2.439,1.198,0,78.049,0
2013,South West,0.054,0,29.412,0,0.158,0,50,0
2013,West Midlands,0.112,0.012,50,3.846,0.702,0.005,65.385,3.846
2013,Yorkshire and The Humber,0.51,0,50,0,1.498,0,57.5,0
2014,East,3.427,0.001,92.208,1.299,6.799,0,97.403,0
2014,East Midlands,3.122,0.001,86.441,1.695,6.519,0.003,96.61,5.085
2014,North East,7.93,0,100,0,18.16,0,100,0
2014,North West,15.96,0,100,0,25.497,0,100,0
2014,South East,3.541,0,97.5,0,10.081,0.001,100,2.5
2014,South West,6.684,0,90.625,0,14.82,0,100,0
2014,West Midlands,8.588,0,100,0,14.502,0,100,0
2014,Yorkshire and The Humber,11.318,0,100,0,19.392,0,97.727,0
2015,East,0.203,0,35.897,0,0.417,0,56.41,0
2015,East Midlands,0.086,0,23.214,0,0.531,0,41.071,0
2015,North East,0.027,0,16.667,0,0.293,0,41.667,0
2015,North West,0.51,0,62.5,0,2.07,0,62.5,0
2015,South East,0.754,0,38.462,0,2.207,0,66.667,0
2015,South West,0.449,0,52.941,0,4.836,0,85.294,0
2015,West Midlands,0.787,0,53.333,0,1.803,0,73.333,0
2015,Yorkshire and The Humber,0.017,0,16.279,0,0.061,0,44.186,0
2016,East,0.107,0.053,21.212,3.03,0.351,0.048,50,9.091
2016,East Midlands,0.065,0.001,29.167,2.083,0.698,0.007,68.75,8.333
2016,North East,0.004,0.032,10,10,0.148,0.004,40,10
2016,North West,0.653,0.047,83.333,16.667,1.233,0.087,83.333,16.667
2016,South East,0.249,0.001,40.625,3.125,0.827,0.005,84.375,3.125
2016,South West,0.077,0,32.143,0,1.123,0.006,85.714,3.571
2016,West Midlands,0.293,0.003,45.833,4.167,1.25,0,79.167,0
2016,Yorkshire and The Humber,0.141,0,33.333,0,0.554,0,80.556,0
2017,East,0.281,0.002,45.588,1.471,0.91,0.004,67.647,1.471
2017,East Midlands,0.678,0,54.167,0,1.944,0,77.083,0
2017,North East,0.056,0,40,0,0.332,0,50,0
2017,North West,0.377,0.011,57.143,14.286,0.811,0,57.143,0
2017,South East,0.925,0,68.75,0,2.141,0,87.5,0
2017,South West,6.037,0.012,69.231,3.846,9.694,0.011,84.615,3.846
2017,West Midlands,1.935,0,77.273,0,3.293,0.005,77.273,4.545
2017,Yorkshire and The Humber,1.518,0.001,80.556,2.778,2.518,0,94.444,0
2018,East,0.291,0,62.295,0,1.546,0,80.328,0
